cosmos1zspv26y5sjxz064rcqrd7r88nw7459wxnrz2se,68,1
cosmos14l0fp639yudfl46zauvv8rkzjgd4u0zk0fyvgr,1,1
cosmos132juzk0gdmwuxvx4phug7m3ymyatxlh9m9paea,1,1
cosmos1rcp29q3hpd2485pmda9lcpjr2c7l4s6xvu428q,68,1
cosmos15urq2dtp9qce4fyc85m6upwm9xul3049um7trd,1,1
cosmos1te8nxpc2myjfrhaty0dnzdhs4wm0f6sxed6ql6,68,1
cosmos130mdu9a0etmeuw52qfxk73pn0ga6gawkryh2z6,1,1
cosmos1w42lm7zv55jrh5ggpecg0v643qeatfkdqf5ua6,1,1
cosmos1s05va5d09xlq3et8mapsesqh6r5lqy7mnr69mg,1,1
cosmos1jxv0u20scu6k80mu43a7kjsjpjn48psxlp7glq,68,1
cosmos1rwh0cxa72d3yle3r4l8gd7vyphrmjy2kydpnje,1,1
cosmos19kwwdw0j64xhrmgkz49l0lmu5uyujjayrfzmuq,1,1
cosmos130mdu9a0etmeuw52qfxk73pn0ga6gawkryh2z6,1,2
cosmos1ec3p6a75mqwkv33zftr843xvpjw8cvvqzj8yrn,32,1
cosmos1000ya26q2clz22pt3thhp5hl0d5qy5vq2euyx5,32,1
cosmos1s6fa7qfsddlgyjvyp34c8ess04knzsvc5dxu0x,1,1
cosmos1s05va5d09xlq3et8mapsesqh6r5lqy7mnr69mg,1,2
cosmos1w42lm7zv55jrh5ggpecg0v643qeatfkdqf5ua6,1,2
cosmos1yvvkkmzh8zs4z4v7gzn0ux8ag0me79ec3n4ma8,1,1
cosmos16m93gjfqvnjajzrfyszml8qm92a0w67ntjhd3d,1,2
cosmos1lktjhnzkpkz3ehrg8psvmwhafg56kfss5597tg,1,2
cosmos1wp9jne5t3e4au7uqnjz273gty7qmwrjxtcw3rp,68,2
cosmos1wp9jne5t3e4au7uqnjz273gty7qmwrjxtcw3rp,68,1
cosmos14kn0kk33szpwus9nh8n87fjel8djx0y0mmswhp,1,1
cosmos14kn0kk33szpwus9nh8n87fjel8djx0y0mmswhp,1,2
cosmos130mdu9a0etmeuw52qfxk73pn0ga6gawkryh2z6,3,2
